Departure,Arrival,Airline,Duration,Stops,Price
7:30 AM,7:25 PM,Air France,11 hr 55 min,1 stop,"MAD 3,712"
7:30 AM,3:20 PM,Air France,7 hr 50 min,1 stop,"MAD 3,837"
3:55 PM,10:45 PM,Air France,6 hr 50 min,1 stop,"MAD 4,132"
1:25 AM,8:55 AM,Lufthansa,7 hr 30 min,1 stop,"MAD 4,376"
1:25 AM,9:25 AM,Lufthansa,8 hr,1 stop,"MAD 4,376"
1:25 AM,9:55 AM,Lufthansa,8 hr 30 min,1 stop,"MAD 4,376"
7:30 AM,5:15 PM,Air France,9 hr 45 min,1 stop,"MAD 4,772"
10:20 AM,7:25 PM,Air France,9 hr 5 min,1 stop,"MAD 4,772"
10:20 AM,10:45 PM,Air France,12 hr 25 min,1 stop,"MAD 4,772"
1:25 AM,10:55 AM,Lufthansa,9 hr 30 min,1 stop,"MAD 4,999"
1:25 AM,12:55 PM,Lufthansa,11 hr 30 min,1 stop,"MAD 4,999"
1:25 AM,1:55 PM,Lufthansa,12 hr 30 min,1 stop,"MAD 5,744"
10:20 AM,5:15 PM,Air France,6 hr 55 min,1 stop,"MAD 5,927"
12:40 PM,11:10 PM,Iberia,10 hr 30 min,1 stop,"MAD 10,014"
12:40 PM,10:25 PM,"Iberia, British Airways",9 hr 45 min,2 stops,"MAD 11,124"
